iter	RMSE
170	3.795248206
171	3.762936182
172	3.746057757
173	3.725309434
174	3.712363105
175	3.697381816
176	3.66101435
177	3.644184992
178	3.611897033
179	3.596003734
180	3.575278903
181	3.560547807
182	3.546818826
183	3.521970119
184	3.499060474
185	3.472863717
186	3.444354447
187	3.426126352
188	3.409171144
189	3.394256671
190	3.37932562
191	3.363065706
192	3.347168683
193	3.333281557
194	3.319237823
195	3.304457493
196	3.285475771
197	3.251696311
198	3.235240469
199	3.220201259
200	3.204635095
201	3.188938014
202	3.166301929
203	3.153226398
204	3.138709711
205	3.12317361
206	3.0903292
207	3.074051331
208	3.042206089
209	3.016709521
210	3.004797592
211	2.991946566
212	2.978118539
213	2.964440946
214	2.953280581
215	2.940602861
216	2.929499025
217	2.918674509
218	2.906694247
219	2.87440853
220	2.858953659
221	2.830496422
222	2.817602232
223	2.807160715
224	2.794786505
225	2.782719837
226	2.772038062
227	2.744387694
228	2.720728285
229	2.708465992
230	2.697960096
231	2.669715682
232	2.658568873
233	2.646376582
234	2.635466748
235	2.624943156
236	2.615697549
237	2.605986568
238	2.579439438
239	2.568786538
240	2.544446689
241	2.535444551
242	2.525985757
243	2.517762156
244	2.493400887
245	2.484834595
246	2.476389233
247	2.453595629
248	2.430955986
249	2.423038183
250	2.40255868
251	2.394000877
252	2.373529789
253	2.365698903
254	2.357979219
255	2.336048871
256	2.327476366
257	2.31917817
258	2.300165802
259	2.292907759
260	2.285753171
261	2.267534842
262	2.258182404
263	2.250311476
264	2.243519972
265	2.223998052
266	2.215093259
267	2.195523762
268	2.188310618
269	2.170050156
270	2.161606585
271	2.153308793
272	2.145154334
273	2.125829926
274	2.104431143
275	2.085579626
276	2.078860808
277	2.07199848
278	2.065413262
279	2.049660138
280	2.042926817
281	2.027534197
282	2.021021015
283	2.013994531
284	2.007089805
285	1.990023639
286	1.983907719
287	1.968017189
288	1.962040464
289	1.946110507
290	1.94031078
291	1.935102388
292	1.929470753
293	1.923908838
294	1.91921966
295	1.900596074
296	1.894355619
297	1.88931041
298	1.884135653
299	1.878562206
300	1.861542388
301	1.85659442
302	1.842858175
303	1.828740954
304	1.821995836
305	1.816244347
306	1.811299119
307	1.806443482
308	1.79090167
309	1.78675225
310	1.770853144
311	1.766249878
312	1.758350778
313	1.753891593
314	1.741910574
315	1.737579001
316	1.727657312
317	1.720588262
318	1.713659091
319	1.699151834
320	1.695128906
321	1.691519357
322	1.687494852
323	1.677560222
324	1.667392034
325	1.655744486
326	1.652338093
327	1.648604789
328	1.63766751
329	1.629629349
330	1.619941921
331	1.612241686
332	1.60844806
333	1.604794355
334	1.601201132
335	1.588481573
336	1.585002704
337	1.573610308
338	1.570232578
339	1.567330614
340	1.561895287
341	1.55100602
342	1.542213222
343	1.533896195
344	1.531147985
345	1.52860551
346	1.517043823
347	1.513791772
348	1.510599646
349	1.507787441
350	1.504700924
351	1.502201585
352	1.49504308
353	1.486442318
354	1.483527557
355	1.475082027
356	1.470476886
357	1.468099422
358	1.465587067
359	1.460281753
360	1.457609875
361	1.450768091
362	1.44340062
363	1.440849465
364	1.434202685
365	1.425927778
366	1.42346435
367	1.413789449
368	1.41153949
369	1.409182177
370	1.40221344
371	1.400199628
372	1.398215898
373	1.396319539
374	1.394392198
375	1.392493648
376	1.390677294
377	1.384016414
378	1.378574925
379	1.376615298
380	1.367592099
381	1.365595378
382	1.360187562
383	1.352337035
384	1.350622481
385	1.345263692
386	1.337198855
387	1.332477053
388	1.329852155
389	1.325310352
390	1.323855174
391	1.322271428
392	1.315070827
393	1.308296522
394	1.304520022
395	1.29758101
396	1.296222772
397	1.294745252
398	1.287910314
399	1.281760442
400	1.273405289
401	1.268151974
402	1.262154717
403	1.2555747
404	1.254202635
405	1.252730988
406	1.251400989
407	1.246930231
408	1.245671648
409	1.241045332
410	1.239815234
411	1.234785299
412	1.229713664
413	1.22511814
414	1.223943841
415	1.222754671
416	1.221614707
417	1.217985608
418	1.215611212
419	1.214482379
420	1.208667015
421	1.20461249
422	1.20352458
423	1.198715372
424	1.19765351
425	1.191945983
426	1.190911738
427	1.185643969
428	1.184544843
429	1.183633292
430	1.180129618
431	1.177146053
432	1.176185949
433	1.171860927
434	1.168311768
435	1.167387271
436	1.16655345
437	1.161282436
438	1.156616552
439	1.153188719
440	1.152389891
441	1.151527873
442	1.150696401
443	1.145940776
444	1.143724559
445	1.14028959
446	1.13701003
447	1.132504146
448	1.127930962
449	1.123669581
450	1.122903674
451	1.120091115
452	1.115050758
453	1.114299274
454	1.11010338
455	1.107386889
456	1.101414205
457	1.099349602
458	1.098648134
459	1.096999243
460	1.093023287
461	1.091437123
462	1.090796379
463	1.087101884
464	1.086449604
465	1.085807455
466	1.085175275
467	1.081583422
468	1.080949598
469	1.08038804
470	1.077995696
471	1.07328906
472	1.07070739
473	1.066236153
474	1.064768415
475	1.061174346
476	1.05906558
477	1.05850515
478	1.057963785
479	1.055559484
480	1.051678335
481	1.046814065
482	1.046362309
483	1.041616999
484	1.037426799
485	1.033147747
486	1.032652758
487	1.030840818
488	1.027330547
489	1.025451354
490	1.021032516
491	1.019281424
492	1.017196593
493	1.012626309
494	1.009359924
495	1.005338279
496	1.00245236
497	0.9997546476
498	0.9970117532
499	0.9936201325
500	0.9903403286
501	0.988232094
502	0.9877511642
503	0.9845890707
504	0.9802566193
505	0.9764963797
506	0.9738277347
507	0.9708600236
508	0.9669820155
509	0.9641547652
510	0.9624211745
511	0.9611198808
512	0.9583255544
513	0.9564752088
514	0.9561169046
515	0.9539735981
516	0.9524308853
517	0.9509670461
518	0.9483508431
519	0.9453171316
520	0.9421265728
521	0.9387271969
522	0.9368357459
523	0.9330428521
524	0.930468528
525	0.9277070478
526	0.925030931
527	0.9224534095
528	0.9209323411
529	0.9174983925
530	0.9150283974
531	0.9132975739
532	0.9118591604
533	0.9090151546
534	0.9057724091
535	0.9035253336
536	0.9013399892
537	0.8988283497
538	0.8961760246
539	0.8936309658
540	0.8901008739
541	0.8887520958
542	0.8881873874
543	0.8866117021
544	0.8848371097
545	0.8830275249
546	0.8810250486
547	0.878908683
548	0.8773482531
549	0.8757150809
550	0.8754182558
551	0.8736567038
552	0.8716978669
553	0.8697699241
554	0.868290969
555	0.8662898006
556	0.8645294992
557	0.8614315541
558	0.8592800207
559	0.8560391196
560	0.8545307502
561	0.8542359614
562	0.8525829539
563	0.8523680629
564	0.8520996616
565	0.8499368744
566	0.8483894644
567	0.8456845776
568	0.8432170605
569	0.840503845
570	0.8371422221
571	0.836796693
572	0.8334009223
573	0.8323030052
574	0.8294253497
575	0.8267854318
576	0.8238191015
577	0.8206299275
578	0.8183592526
579	0.8156019429
580	0.8134661162
581	0.8101801954
582	0.8088473309
583	0.807591116
584	0.8047683343
585	0.8045314645
586	0.8037573007
587	0.8014558386
588	0.7978672152
589	0.7977140445
590	0.7962540355
591	0.7939062487
592	0.7915458168
593	0.7901234326
594	0.7881996181
595	0.7867759797
596	0.7866109098
597	0.7832609059
598	0.7809059392
599	0.7792877179
600	0.7768540663
601	0.7755059776
602	0.772890995
603	0.7700058591
604	0.7678217625
605	0.7665313576
606	0.7638746329
607	0.7614226265
608	0.7586587381
609	0.7583086485
610	0.7556095113
611	0.7531848754
612	0.7505883988
613	0.7480512422
614	0.7461097816
615	0.7446948583
616	0.7435736212
617	0.740979485
618	0.7395731553
619	0.7379102004
620	0.7359730164
621	0.7346277798
622	0.7319313275
623	0.7293129489
624	0.7281192588
625	0.7259404755
626	0.7240150924
627	0.7226385632
628	0.7225055852
629	0.720077285
630	0.7179033991
631	0.7163746073
632	0.7146396899
633	0.7123796093
634	0.7108483292
635	0.7092746022
636	0.7073291866
637	0.705629079
638	0.7041728808
639	0.7024253441
640	0.700145322
641	0.6990432324
642	0.6972490795
643	0.6956890704
644	0.6934966804
645	0.6923969532
646	0.6922870429
647	0.6905354873
648	0.6884824268
649	0.6864979907
650	0.6859800688
651	0.6846388543
652	0.6833893037
653	0.6827749092
654	0.681377091
655	0.6792438459
656	0.6777068257
657	0.6752243839
658	0.6748074389
659	0.6745573657
660	0.6721460251
661	0.6697248013
662	0.668022708
663	0.6678545713
664	0.6677714013
665	0.6660669118
666	0.6643214823
667	0.6633212399
668	0.6630765125
669	0.6609997728
670	0.6598905387
671	0.6590670729
672	0.6576037268
673	0.6565668368
674	0.6551102806
675	0.6535164053
676	0.6518479264
677	0.6507913477
678	0.6503254765
679	0.6482482418
680	0.6462966805
681	0.644524694
682	0.6440051875
683	0.6424295183
684	0.6403104531
685	0.6384463687
686	0.6363372546
687	0.6360789666
688	0.6342572444
689	0.6322041912
690	0.6308055914
691	0.6292707432
692	0.6280446976
693	0.6262728567
694	0.6251162436
695	0.6236193863
696	0.622269677
697	0.6209721547
698	0.6200324659
699	0.6187118803
700	0.6176316394
701	0.6165594201
702	0.6150954967
703	0.6134341079
704	0.6122957674
705	0.6105773176
706	0.609463023
707	0.6079508523
708	0.6054909319
709	0.6039842899
710	0.6028461019
711	0.6017018785
712	0.6007470846
713	0.5995264187
714	0.5992141702
715	0.597180176
716	0.595628275
717	0.5950351178
718	0.5944600287
719	0.592778552
720	0.5922397846
721	0.5920196301
722	0.5906188009
723	0.5897340187
724	0.5884666655
725	0.5869164768
726	0.585728382
727	0.5844527784
728	0.5829631908
729	0.5814648103
730	0.5797692636
731	0.5785711584
732	0.5771654128
733	0.5752704779
734	0.5737873012
735	0.5725577851
736	0.5717044677
737	0.569981301
738	0.5689950958
739	0.5688144653
740	0.5686968504
741	0.5671771008
742	0.5655520799
743	0.5642179245
744	0.5634626644
745	0.5613808347
746	0.5592879605
747	0.5585038178
748	0.5581628533
749	0.5564477393
750	0.5549305012
751	0.5542486854
752	0.553198277
753	0.5515954773
754	0.5501515553
755	0.5488896041
756	0.5475547603
757	0.5460858456
758	0.5447553818
759	0.5433442785
760	0.5423611559
761	0.5413292398
762	0.539906288
763	0.5386333259
764	0.5381642174
765	0.5368905685
766	0.5353117228
767	0.5352034272
768	0.5345746359
769	0.5337043728
770	0.5325596036
771	0.5305876746
772	0.5298502673
773	0.5281231355
774	0.5276236742
775	0.5259761588
776	0.5245436219
777	0.5238090073
778	0.5222629616
779	0.5221528543
780	0.5208942104
781	0.5198924682
782	0.5183938484
783	0.518309169
784	0.5167642317
785	0.5159806341
786	0.5148729627
787	0.5137654543
788	0.5121580304
789	0.5103435788
790	0.5102304748
791	0.5090818294
792	0.5085344192
793	0.5066204647
794	0.5049059108
795	0.5035252527
796	0.5022340153
797	0.5006919193
798	0.4992795009
799	0.4979993394
800	0.4970120993
801	0.495857596
802	0.4957826674
803	0.4957064134
804	0.4951937417
805	0.4941623939
806	0.4928072892
807	0.4920150449
808	0.4917851252
809	0.4898187798
810	0.488960658
811	0.4877194671
812	0.486871799
813	0.4853988642
814	0.4838765285
815	0.4829434856
816	0.4818084325
817	0.4803097081
818	0.4801274957
819	0.4799995278
820	0.4793709836
821	0.4785062903
822	0.4778357072
823	0.4776334031
824	0.4761952381
825	0.4756557055
826	0.4749375395
827	0.4740692093
828	0.4739301671
829	0.4730448976
830	0.4724444438
831	0.4710013282
832	0.4701201423
833	0.4695235313
834	0.4694513973
835	0.4683530638
836	0.4677898408
837	0.4662693618
838	0.4661047742
839	0.4651107537
840	0.4638285562
841	0.462812498
842	0.4617516806
843	0.4610955228
844	0.4603089792
845	0.4602378528
846	0.4591039297
847	0.4587477018
848	0.4573847301
849	0.4564169653
850	0.4552233733
851	0.4539931615
852	0.4529324134
853	0.4522994569
854	0.4510080186
855	0.4502302837
856	0.4494055421
857	0.448084128
858	0.4472273823
859	0.4470908408
860	0.4460229076
861	0.4458601623
862	0.4447812099
863	0.4441398854
864	0.443200828
865	0.4415573108
866	0.4412349264
867	0.4402986672
868	0.4402162162
869	0.4388990006
870	0.4382918711
871	0.4370260465
872	0.4356158559
873	0.4355441707
874	0.4353828258
875	0.4346201585
876	0.4344388977
877	0.433782377
878	0.4329561774
879	0.4328493049
880	0.4319147525
881	0.4318310931
882	0.4308106472
883	0.429584377
884	0.4279944511
885	0.4270179056
886	0.4259146215
887	0.4249991987
888	0.424217513
889	0.4232556532
890	0.4220425578
891	0.4211819136
892	0.4200219932
893	0.4190314373
894	0.4180148762
895	0.4176818451
896	0.4168619201
897	0.415960606
898	0.4148483772
899	0.4134808895
900	0.4132981222
901	0.4122470847
902	0.4121682123
903	0.4120665651
904	0.4109026161
905	0.4097632049
906	0.4087315693
907	0.408682717
908	0.4078376178
909	0.4067251512
910	0.4059638596
911	0.4053901987
912	0.4045247179
913	0.4032199038
914	0.4030992242
915	0.4023516298
916	0.4015354101
917	0.4009858135
918	0.4001961045
919	0.3990066984
920	0.3981656665
921	0.3980369247
922	0.3979165328
923	0.3970348184
924	0.396441652
925	0.3963644204
926	0.3956527433
927	0.3945932961
928	0.3941529647
929	0.3932528408
930	0.3924327745
931	0.3916555475
932	0.3906068939
933	0.3897234009
934	0.3883128073
935	0.3871177319
936	0.3869973481
937	0.386159791
938	0.384928323
939	0.3848649498
940	0.3840149087
941	0.3829667489
942	0.3817148719
943	0.3808464423
944	0.3805853365
945	0.3797823265
946	0.379727301
947	0.3783214074
948	0.3773611133
949	0.3763449196
950	0.3762316062
951	0.3754988345
952	0.3754385845
953	0.3747583205
954	0.3739415773
955	0.3733577841
956	0.3726247734
957	0.3724748427
958	0.3718627681
959	0.3711546373
960	0.3704264449
961	0.3703673963
962	0.3694708611
963	0.3690902149
964	0.3681913317
965	0.3673596423
966	0.3666598524
967	0.3655143147
968	0.3649241066
969	0.3643896445
970	0.3636688383
971	0.3628637036
972	0.3625002982
973	0.3617596426
974	0.3609623514
975	0.3605337273
976	0.3598604905
977	0.3593179288
978	0.3585936377
979	0.3579967685
980	0.3574890412
981	0.3570549298
982	0.3567352511
983	0.3560276391
984	0.3554574892
985	0.3553308883
986	0.3552907372
987	0.3552394155
988	0.3540050647
989	0.353883541
990	0.3537664224
991	0.3532623142
992	0.3523200169
993	0.3514025174
994	0.3503454209
995	0.3503026605
996	0.3502457531
997	0.3495328076
998	0.3490958708
999	0.3483966874
